tanggal,temperatur_rata,kelembapan_rata,curah_hujan,lamanya_penyinaran_matahari,kecepatan_angin_rata,cuaca
2022-06-04,28.1,80.0,0.0,8.0,1.0,Cerah
2022-06-05,27.1,83.0,3.4,6.4,1.0,Hujan Ringan
2022-06-06,25.9,88.0,10.9,5.5,1.0,Hujan Ringan
2022-06-07,27.0,84.0,23.3,0.9,1.0,Hujan Sedang
2022-06-08,27.0,86.0,3.4,4.9,0.0,Hujan Ringan
2022-06-09,24.9,94.0,1.2,2.5,0.0,Hujan Ringan
2022-06-10,27.3,82.0,23.0,0.0,1.0,Hujan Sedang
2022-06-11,27.2,89.0,1.0,7.6,1.0,Hujan Ringan
2022-06-12,26.3,89.0,12.0,2.7,1.0,Hujan Ringan
2022-06-13,25.6,91.0,68.3,5.6,0.0,Hujan Lebat
2022-06-14,27.2,88.0,27.0,1.8,0.0,Hujan Sedang
2022-06-15,26.2,90.0,2.0,3.3,0.0,Hujan Ringan
2022-06-16,26.0,89.0,15.4,0.0,1.0,Hujan Ringan
2022-06-17,26.2,87.0,3.4,1.8,0.0,Hujan Ringan
2022-06-18,26.6,84.0,3.4,0.6,0.0,Hujan Ringan
2022-06-19,27.6,81.0,3.4,1.9,2.0,Hujan Ringan
2022-06-20,27.4,82.0,3.4,8.1,1.0,Hujan Ringan
2022-06-21,27.7,77.0,3.3,4.3,2.0,Hujan Ringan
2022-06-22,27.6,84.0,1.6,6.8,1.0,Hujan Ringan
2022-06-23,28.4,78.0,3.4,3.5,2.0,Hujan Ringan
2022-06-24,27.2,82.0,3.4,5.1,1.0,Hujan Ringan
2022-06-25,26.9,86.0,3.4,1.6,0.0,Hujan Ringan
2022-06-26,26.6,88.0,37.5,1.7,0.0,Hujan Sedang
2022-06-27,27.9,82.0,1.2,2.1,1.0,Hujan Ringan
2022-06-28,28.1,80.0,0.2,3.7,1.0,Hujan Ringan
2022-06-29,27.7,75.0,24.8,4.9,1.0,Hujan Sedang
2022-06-30,27.2,72.0,3.4,7.3,1.0,Hujan Ringan
2022-07-01,28.1,79.0,3.4,8.3,1.0,Hujan Ringan
2022-07-02,28.8,76.0,3.4,8.7,1.0,Hujan Ringan
2022-07-03,29.2,79.0,3.4,5.1,0.0,Hujan Ringan
2022-07-04,29.5,75.0,2.0,3.5,3.0,Hujan Ringan
2022-07-05,28.7,80.0,3.4,9.0,1.0,Hujan Ringan
2022-07-06,26.2,89.0,37.8,5.5,0.0,Hujan Sedang
2022-07-07,28.0,82.0,0.6,2.6,1.0,Hujan Ringan
2022-07-08,28.6,80.0,3.4,6.9,0.0,Hujan Ringan
2022-07-09,27.9,78.0,3.4,7.3,1.0,Hujan Ringan
2022-07-10,29.9,68.0,3.4,3.6,1.0,Hujan Ringan
2022-07-11,28.2,74.0,3.4,7.9,1.0,Hujan Ringan
2022-07-12,28.7,78.0,3.4,3.7,1.0,Hujan Ringan
2022-07-13,26.7,86.0,0.7,3.0,1.0,Hujan Ringan
2022-07-14,28.1,82.0,24.8,0.0,2.0,Hujan Sedang
2022-07-15,27.8,89.0,3.4,6.6,1.0,Hujan Ringan
2022-07-16,25.3,88.0,65.3,6.0,0.0,Hujan Lebat
2022-07-17,27.3,83.0,13.2,0.7,1.0,Hujan Ringan
2022-07-18,27.7,82.0,3.4,0.4,1.0,Hujan Ringan
2022-07-19,28.6,80.0,3.4,5.4,1.0,Hujan Ringan
2022-07-20,28.9,84.0,3.4,6.4,1.0,Hujan Ringan
2022-07-21,28.6,82.0,3.4,6.3,1.0,Hujan Ringan
2022-07-22,28.3,86.0,3.4,8.3,1.0,Hujan Ringan
2022-07-23,28.1,82.0,0.2,2.0,1.0,Hujan Ringan
2022-07-24,28.0,82.0,4.0,4.2,1.0,Hujan Ringan
2022-07-25,28.0,85.0,3.5,8.3,1.0,Hujan Ringan
2022-07-26,28.3,82.0,3.4,3.3,2.0,Hujan Ringan
2022-07-27,28.2,76.0,3.4,6.5,1.0,Hujan Ringan
2022-07-28,28.8,76.0,3.4,5.5,2.0,Hujan Ringan
2022-07-29,28.9,81.0,3.4,8.6,1.0,Hujan Ringan
2022-07-30,29.0,81.0,3.4,7.7,2.0,Hujan Ringan
2022-07-31,28.5,80.0,3.4,6.2,1.0,Hujan Ringan
2022-08-01,28.4,80.0,3.4,7.1,2.0,Hujan Ringan
2022-08-02,28.5,79.0,3.4,7.8,1.0,Hujan Ringan
2022-08-03,28.8,80.0,3.4,4.4,2.0,Hujan Ringan
2022-08-04,27.5,86.0,3.4,1.3,1.0,Hujan Ringan
2022-08-05,28.0,79.0,1.3,3.4,2.0,Hujan Ringan
2022-08-06,28.2,80.0,3.4,3.6,1.0,Hujan Ringan
2022-08-07,28.7,78.0,3.4,9.4,2.0,Hujan Ringan
2022-08-08,28.2,80.0,31.8,7.5,2.0,Hujan Sedang
2022-08-09,28.6,78.0,3.4,9.4,1.0,Hujan Ringan
2022-08-10,28.7,84.0,3.4,7.3,2.0,Hujan Ringan
2022-08-11,28.9,84.0,3.4,7.6,2.0,Hujan Ringan
2022-08-12,28.7,84.0,3.4,8.1,2.0,Hujan Ringan
2022-08-13,28.3,82.0,0.5,3.9,1.0,Hujan Ringan
2022-08-14,28.7,84.0,3.4,7.6,2.0,Hujan Ringan
2022-08-15,28.6,86.0,3.4,8.7,2.0,Hujan Ringan
2022-08-16,27.7,88.0,0.8,6.5,2.0,Hujan Ringan
2022-08-17,27.1,90.0,5.0,4.2,2.0,Hujan Ringan
2022-08-18,28.5,80.0,9.9,6.0,2.0,Hujan Ringan
2022-08-19,29.1,78.0,3.4,8.0,3.0,Hujan Ringan
2022-08-20,29.2,82.0,3.4,9.7,2.0,Hujan Ringan
2022-08-21,28.4,82.0,3.4,7.7,1.0,Hujan Ringan
2022-08-22,26.6,90.0,11.4,4.5,1.0,Hujan Ringan
2022-08-23,28.5,86.0,3.4,1.0,2.0,Hujan Ringan
2022-08-24,28.5,86.0,15.0,8.1,2.0,Hujan Ringan
2022-08-25,28.7,79.0,3.4,6.5,2.0,Hujan Ringan
2022-08-26,28.3,86.0,3.4,8.3,2.0,Hujan Ringan
2022-08-27,28.0,86.0,3.4,2.1,1.0,Hujan Ringan
2022-08-28,27.2,86.0,46.5,1.6,1.0,Hujan Sedang
2022-08-29,27.3,86.0,22.5,3.7,1.0,Hujan Sedang
2022-08-30,28.2,85.0,3.4,5.7,2.0,Hujan Ringan
2022-08-31,28.4,81.0,3.4,6.6,2.0,Hujan Ringan
2022-09-01,28.8,82.0,3.4,5.0,2.0,Hujan Ringan
2022-09-02,26.5,89.0,3.4,2.9,1.0,Hujan Ringan
2022-09-03,27.3,88.0,0.8,1.4,3.0,Hujan Ringan
2022-09-04,28.3,81.0,3.4,6.6,1.0,Hujan Ringan
2022-09-05,29.0,82.0,3.4,6.9,2.0,Hujan Ringan
2022-09-06,28.8,85.0,8.0,6.6,2.0,Hujan Ringan
2022-09-07,26.0,97.0,7.5,4.3,1.0,Hujan Ringan
2022-09-08,25.5,95.0,63.4,2.1,0.0,Hujan Lebat
2022-09-09,25.9,89.0,3.6,0.0,2.0,Hujan Ringan
2022-09-10,25.9,90.0,31.4,1.1,1.0,Hujan Sedang
2022-09-11,27.1,88.0,35.0,1.7,1.0,Hujan Sedang
2022-09-12,27.1,87.0,1.3,7.1,1.0,Hujan Ringan
2022-09-13,26.4,88.0,0.4,5.1,1.0,Hujan Ringan
2022-09-14,27.4,85.0,19.7,4.2,1.0,Hujan Ringan
2022-09-15,28.4,84.0,3.4,4.6,1.0,Hujan Ringan
2022-09-16,28.2,80.0,3.4,6.4,1.0,Hujan Ringan
2022-09-17,28.5,80.0,1.0,5.3,2.0,Hujan Ringan
2022-09-18,28.3,83.0,3.4,3.9,1.0,Hujan Ringan
2022-09-19,27.7,85.0,3.4,3.2,2.0,Hujan Ringan
2022-09-20,27.8,79.0,2.6,6.0,1.0,Hujan Ringan
2022-09-21,28.0,84.0,3.4,4.7,2.0,Hujan Ringan
2022-09-22,26.1,92.0,17.5,4.1,1.0,Hujan Ringan
2022-09-23,26.1,92.0,54.5,2.6,1.0,Hujan Lebat
2022-09-24,27.7,83.0,30.0,3.2,2.0,Hujan Sedang
2022-09-25,28.6,82.0,3.4,8.4,1.0,Hujan Ringan
2022-09-26,28.4,80.0,3.4,4.8,1.0,Hujan Ringan
2022-09-27,28.7,76.0,14.2,5.7,2.0,Hujan Ringan
2022-09-28,28.5,80.0,3.4,8.1,2.0,Hujan Ringan
2022-09-29,28.8,76.0,0.5,5.8,2.0,Hujan Ringan
2022-09-30,28.1,80.0,3.4,2.6,2.0,Hujan Ringan
2022-10-01,29.6,83.0,0.2,4.0,2.0,Hujan Ringan
2022-10-02,26.6,84.0,8.4,4.3,1.0,Hujan Ringan
2022-10-03,27.4,86.0,0.7,0.4,1.0,Hujan Ringan
2022-10-04,27.2,88.0,13.8,5.2,1.0,Hujan Ringan
2022-10-05,27.0,91.0,43.5,4.4,1.0,Hujan Sedang
2022-10-06,26.4,90.0,3.4,1.1,1.0,Hujan Ringan
2022-10-07,26.0,93.0,18.4,3.6,2.0,Hujan Ringan
2022-10-08,26.5,90.0,10.2,4.1,1.0,Hujan Ringan
2022-10-09,27.1,88.0,1.0,1.5,2.0,Hujan Ringan
2022-10-10,27.2,88.0,3.4,4.0,1.0,Hujan Ringan
2022-10-11,26.8,90.0,3.4,2.2,1.0,Hujan Ringan
2022-10-12,27.5,82.0,4.5,0.0,2.0,Hujan Ringan
2022-10-13,26.1,90.0,3.4,0.0,1.0,Hujan Ringan
2022-10-14,27.6,85.0,75.3,2.1,2.0,Hujan Lebat
2022-10-15,27.2,89.0,3.4,7.9,2.0,Hujan Ringan
2022-10-16,28.1,87.0,28.0,3.0,1.0,Hujan Sedang
2022-10-17,29.2,84.0,3.4,6.0,1.0,Hujan Ringan
2022-10-18,27.4,88.0,3.3,5.3,1.0,Hujan Ringan
2022-10-19,26.8,89.0,3.4,0.7,1.0,Hujan Ringan
2022-10-20,25.9,93.0,16.7,1.0,1.0,Hujan Ringan
2022-10-21,27.4,86.0,21.7,1.9,2.0,Hujan Sedang
2022-10-22,28.3,86.0,3.4,0.4,2.0,Hujan Ringan
2022-10-23,28.0,86.0,10.0,4.5,3.0,Hujan Ringan
2022-10-24,27.9,86.0,3.4,6.4,3.0,Hujan Ringan
2022-10-25,27.2,86.0,0.2,5.8,2.0,Hujan Ringan
2022-10-26,25.9,91.0,25.3,1.4,3.0,Hujan Sedang
2022-10-27,27.7,82.0,3.4,0.9,1.0,Hujan Ringan
2022-10-28,28.2,77.0,3.4,4.7,2.0,Hujan Ringan
2022-10-29,29.0,80.0,3.4,8.8,2.0,Hujan Ringan
2022-10-30,29.3,76.0,3.4,7.4,2.0,Hujan Ringan
2022-10-31,29.1,75.0,3.4,8.1,2.0,Hujan Ringan
2022-11-01,28.8,79.0,3.4,4.5,2.0,Hujan Ringan
2022-11-02,29.2,84.0,3.4,4.5,2.0,Hujan Ringan
2022-11-03,27.2,88.0,36.4,3.8,1.0,Hujan Sedang
2022-11-04,27.4,87.0,26.4,0.4,2.0,Hujan Sedang
2022-11-05,25.4,90.0,22.4,4.8,1.0,Hujan Sedang
2022-11-06,27.3,87.0,67.4,3.9,1.0,Hujan Lebat
2022-11-07,26.1,93.0,7.8,0.3,1.0,Hujan Ringan
2022-11-08,26.4,90.0,21.4,1.1,1.0,Hujan Sedang
2022-11-09,27.1,87.0,18.2,0.4,2.0,Hujan Ringan
2022-11-10,27.5,88.0,3.4,0.6,2.0,Hujan Ringan
2022-11-11,26.9,86.0,5.5,0.8,2.0,Hujan Ringan
2022-11-12,26.5,89.0,3.4,2.1,2.0,Hujan Ringan
2022-11-13,26.2,92.0,1.1,2.2,2.0,Hujan Ringan
2022-11-14,27.5,86.0,2.4,0.9,1.0,Hujan Ringan
2022-11-15,27.8,86.0,3.4,5.0,1.0,Hujan Ringan
2022-11-16,28.5,81.0,3.4,1.1,1.0,Hujan Ringan
2022-11-17,25.4,94.0,31.5,4.5,1.0,Hujan Sedang
2022-11-18,27.5,84.0,7.2,0.0,3.0,Hujan Ringan
2022-11-19,27.8,84.0,3.4,3.0,3.0,Hujan Ringan
2022-11-20,28.9,79.0,3.4,6.2,3.0,Hujan Ringan
2022-11-21,28.7,80.0,3.4,6.5,3.0,Hujan Ringan
2022-11-23,28.6,82.0,3.4,7.2,2.0,Hujan Ringan
2022-11-24,28.4,82.0,3.4,4.6,3.0,Hujan Ringan
2022-11-25,26.7,89.0,3.4,3.0,1.0,Hujan Ringan
2022-11-26,27.7,86.0,1.1,2.3,2.0,Hujan Ringan
2022-11-27,27.8,84.0,1.7,0.8,2.0,Hujan Ringan
2022-11-28,27.2,88.0,0.4,3.7,1.0,Hujan Ringan
2022-11-29,28.2,83.0,94.5,2.2,1.0,Hujan Lebat
2022-11-30,27.3,86.0,2.2,7.0,1.0,Hujan Ringan
2022-12-01,26.6,90.0,9.4,1.8,1.0,Hujan Ringan
2022-12-02,27.1,88.0,123.8,4.4,1.0,Hujan Lebat
2022-12-03,27.9,84.0,3.4,2.0,1.0,Hujan Ringan
2022-12-04,28.1,84.0,3.4,5.6,1.0,Hujan Ringan
2022-12-05,27.0,84.0,0.2,2.0,1.0,Hujan Ringan
2022-12-06,26.9,90.0,3.4,2.6,1.0,Hujan Ringan
2022-12-07,27.1,87.0,29.8,2.5,1.0,Hujan Sedang
2022-12-08,27.7,86.0,3.4,0.8,1.0,Hujan Ringan
2022-12-09,26.8,88.0,3.4,1.4,2.0,Hujan Ringan
2022-12-10,28.1,80.0,1.5,1.3,2.0,Hujan Ringan
2022-12-11,27.7,83.0,3.4,6.7,3.0,Hujan Ringan
2022-12-12,28.1,84.0,3.4,1.6,3.0,Hujan Ringan
2022-12-13,27.5,87.0,0.3,7.2,3.0,Hujan Ringan
2022-12-15,29.2,77.0,3.4,6.9,3.0,Hujan Ringan
2022-12-16,26.2,88.0,3.4,8.1,1.0,Hujan Ringan
2022-12-17,28.2,85.0,33.0,2.6,2.0,Hujan Sedang
2022-12-18,28.4,84.0,8.0,7.4,2.0,Hujan Ringan
2022-12-19,28.1,83.0,3.4,7.3,1.0,Hujan Ringan
2022-12-20,28.1,85.0,3.4,1.8,1.0,Hujan Ringan
2022-12-21,28.2,86.0,6.8,5.1,2.0,Hujan Ringan
2022-12-22,27.5,87.0,0.6,4.9,2.0,Hujan Ringan
2022-12-23,26.3,88.0,43.7,0.0,2.0,Hujan Sedang
2022-12-24,26.6,91.0,1.0,0.0,1.0,Hujan Ringan
2022-12-25,25.3,94.0,15.3,1.2,1.0,Hujan Ringan
2022-12-26,25.4,94.0,3.4,0.0,1.0,Hujan Ringan
2022-12-27,25.1,92.0,22.3,0.0,2.0,Hujan Sedang
2022-12-28,25.2,91.0,0.3,1.7,3.0,Hujan Ringan
2022-12-29,25.2,92.0,26.1,1.0,2.0,Hujan Sedang
2022-12-30,25.3,94.0,8.9,0.2,1.0,Hujan Ringan
2022-12-31,24.9,94.0,3.2,0.0,2.0,Hujan Ringan
2023-01-01,25.5,94.0,6.8,0.4,2.0,Hujan Ringan
2023-01-02,26.6,89.0,5.3,2.1,2.0,Hujan Ringan
2023-01-03,24.9,92.0,3.3,1.4,2.0,Hujan Ringan
2023-01-04,25.3,94.0,3.4,0.0,1.0,Hujan Ringan
2023-01-05,26.5,88.0,56.4,0.9,2.0,Hujan Lebat
